Reel1,Reel2,Reel3,Letters,,
0,23,15,"P, N, C, Q, N, Z, X, P, Y, K, Z, N, A, M, R, T",151,3/22/2025
0,5,1,"N, M, J, W, B, I, N, P, Y, S, T, G, R, S, R, G",296,3/23/2025
1,7,12,"K, L, N, Y, B, I, Z, K, U, S, I, P, K, F, M, D",442,3/24/2025
1,11,4,"F, T, A, Z, Y, W, A, U, H, B, Z, A, I, X, Z, N",232,3/25/2025
0,24,19,"F, E, M, R, P, H, C, R, O, X, T, C, E, E, F, C",365,3/26/2025
0,19,20,"F, Z, H, A, A, P, Y, X, W, M, R, F, D, H, N, F",207,3/27/2025
1,4,8,"B, G, B, V, S, E, A, Y, I, A, A, N, V, R, F, R",918,3/28/2025
0,20,14,"M, P, T, K, T, B, W, U, F, J, N, C, D, W, I, D",172,3/29/2025
1,5,1,"D, I, V, Q, M, T, T, R, K, H, T, U, S, A, L, E",2427,3/30/2025
0,21,5,"C, C, V, S, L, Q, O, S, Y, K, G, D, F, Z, Z, B",159,3/31/2025
0,19,14,"U, W, U, I, S, Q, Z, M, H, B, C, F, Y, P, E, P",390,4/1/2025
1,6,14,"J, M, Z, O, Q, Z, C, E, C, N, K, T, D, Z, G, J",148,4/2/2025
0,13,17,"Z, K, J, R, O, S, N, R, D, D, Q, T, P, L, V, U",342,4/3/2025
0,4,9,"I, Y, W, H, O, K, Z, N, Z, V, I, S, M, Z, C, F",323,4/4/2025
0,17,17,"H, E, R, N, G, X, P, E, H, K, Z, A, N, E, H, M",307,4/5/2025
1,6,6,"A, J, E, K, R, D, G, A, T, R, G, B, B, U, C, T",722,4/6/2025
0,6,8,"A, T, F, X, L, I, A, N, F, V, E, U, C, U, V, X",570,4/7/2025
1,6,23,"J, B, T, X, P, E, L, S, O, Z, V, Q, S, G, L, D",465,4/8/2025
1,11,14,"C, T, H, K, H, O, U, P, X, G, U, T, V, T, C, V",91,4/9/2025
1,0,13,"V, K, S, X, Y, S, O, G, T, N, N, J, N, P, D, A",449,4/10/2025
0,9,7,"Z, L, L, S, E, C, A, T, M, J, B, Z, Y, J, I, I",872,4/11/2025
1,1,22,"U, D, W, B, F, E, Y, U, L, T, D, E, N, H, L, Q",410,4/12/2025
0,6,3,"G, I, S, Y, U, P, K, S, B, P, R, Q, F, Z, D, Q",289,4/13/2025
0,3,6,"O, B, S, C, Z, A, O, E, R, F, J, P, N, C, H, M",1601,4/14/2025
0,21,12,"U, V, R, A, V, N, H, P, B, H, R, P, H, E, Q, Z",210,4/15/2025
0,8,10,"Z, D, W, B, R, N, V, Y, X, L, C, F, Q, P, B, I",102,4/16/2025
0,8,22,"I, Q, W, E, Y, A, G, O, A, V, H, K, N, Q, I, G",398,4/17/2025
0,23,23,"U, T, B, B, Q, Q, D, G, C, Y, Q, T, M, R, V, M",80,4/18/2025
0,5,24,"S, D, H, F, K, P, U, Z, D, T, X, E, J, N, X, W",333,4/19/2025
0,1,14,"L, N, A, H, Z, E, J, J, R, J, P, L, S, X, P, S",438,4/20/2025
0,8,8,"F, L, H, T, S, P, H, X, Q, H, G, V, P, I, P, S",124,4/21/2025
0,14,16,"Q, Z, G, J, E, N, K, Y, Y, K, N, K, T, D, W, E",113,4/22/2025
0,13,9,"B, M, R, B, T, Z, R, E, M, Y, M, F, P, S, K, J",167,4/23/2025
1,6,5,"J, Y, S, A, S, E, B, T, K, C, F, Y, E, S, Q, J",376,4/24/2025
0,7,11,"G, V, G, P, O, P, U, M, L, G, J, Q, R, C, B, C",135,4/25/2025
1,10,4,"Y, D, Z, P, U, Q, K, L, B, C, E, Z, U, U, N, J",201,4/26/2025
1,11,16,"D, D, S, A, S, P, K, F, N, A, P, D, L, L, L, B",213,4/27/2025
0,10,6,"I, M, R, I, C, K, B, T, W, I, D, J, J, N, W, P",125,4/28/2025
1,2,5,"O, R, U, O, T, W, H, D, G, A, F, E, B, G, Z, C",1356,4/29/2025
1,6,4,"V, W, H, Y, A, J, O, D, U, Z, R, Q, H, E, D, G",508,4/30/2025
0,2,25,"L, M, H, F, I, C, M, W, T, J, K, K, D, R, B, D",114,5/1/2025
0,19,8,"H, K, N, W, G, Y, W, J, J, W, D, H, A, F, Z, E",206,5/2/2025
0,0,5,"Z, Q, R, L, G, V, E, Q, J, B, A, J, V, X, D, N",321,5/3/2025
1,12,2,"U, X, U, T, X, I, H, D, Y, E, H, L, R, I, P, I",357,5/4/2025
0,20,9,"J, Y, G, W, J, W, G, Z, H, P, J, K, U, A, T, F",121,5/5/2025
0,7,12,"T, Y, T, Z, S, X, D, X, I, O, O, F, G, S, K, S",203,5/6/2025
0,7,1,"J, N, I, S, R, H, Y, J, U, V, F, G, W, V, E, B",680,5/7/2025
0,20,13,"P, B, L, M, N, B, Y, O, J, Z, Y, S, N, O, D, M",259,5/8/2025
0,5,17,"Q, V, S, Z, G, J, M, A, X, R, K, C, V, O, B, F",344,5/9/2025
0,21,3,"A, U, O, K, E, G, L, F, E, G, J, F, S, D, L, V",826,5/10/2025
0,7,8,"V, D, P, T, B, V, H, R, X, S, I, P, I, X, N, K",233,5/11/2025
1,8,1,"P, H, U, N, T, S, I, L, H, N, O, Q, T, O, J, Z",557,5/12/2025
0,8,7,"Q, N, A, P, B, V, F, Q, J, B, F, I, I, T, U, J",156,5/13/2025
0,24,20,"H, P, N, Q, V, C, X, M, L, K, Q, I, T, D, B, U",286,5/14/2025
1,0,21,"I, O, A, C, M, V, E, V, H, X, K, L, E, O, I, F",544,5/15/2025
0,0,12,"D, A, Q, I, U, H, A, K, Z, B, T, R, U, L, V, N",725,5/16/2025
0,20,3,"Q, O, A, Z, V, D, A, K, K, Z, X, I, X, P, V, M",101,5/17/2025
1,7,2,"X, K, M, W, V, F, X, O, N, E, O, J, K, Z, F, P",108,5/18/2025
0,17,7,"Q, Z, K, O, P, S, P, E, O, L, L, F, V, C, O, L",240,5/19/2025
1,12,8,"B, Y, I, B, N, D, L, G, V, L, L, J, B, E, J, U",370,5/20/2025
0,8,19,"T, W, B, V, H, T, R, D, U, I, U, U, A, C, L, X",441,5/21/2025
1,5,18,"P, Z, M, H, U, X, R, C, L, Q, L, Z, A, A, O, C",383,5/22/2025
1,2,2,"V, S, R, R, T, K, E, E, K, L, A, G, X, U, N, K",1526,5/23/2025
0,16,11,"I, J, M, Z, W, H, S, F, Y, I, S, E, K, D, E, O",581,5/24/2025
0,18,21,"D, B, X, I, B, S, X, U, U, M, V, O, X, V, M, L",211,5/25/2025
1,5,4,"Y, J, F, V, V, C, O, U, R, O, O, S, S, P, S, N",255,5/26/2025
0,22,10,"G, X, D, P, Z, F, F, V, I, U, H, S, E, U, W, Q",303,5/27/2025
1,4,9,"I, E, K, M, G, B, I, N, K, P, Q, K, M, C, K, E",154,5/28/2025
1,11,23,"E, B, Y, R, X, E, S, X, A, R, H, V, F, S, J, Q",418,5/29/2025
0,11,6,"X, N, J, R, H, X, K, M, C, D, U, L, F, K, Z, I",196,5/30/2025
0,23,6,"F, H, Y, G, E, C, T, T, A, N, R, O, V, H, F, R",984,5/31/2025
0,22,24,"K, K, D, G, R, F, U, E, F, O, L, E, B, L, L, Z",479,6/1/2025
0,23,7,"Y, B, V, X, E, I, O, X, A, P, F, A, J, Q, S, P",283,6/2/2025
0,10,3,"M, D, L, A, S, P, S, K, J, D, H, E, I, H, G, N",1837,6/3/2025
0,5,13,"L, G, D, F, R, U, Q, V, I, P, L, U, G, O, W, B",288,6/4/2025
1,7,17,"R, T, S, W, N, W, H, M, H, I, T, S, T, U, S, T",254,6/5/2025
0,3,5,"O, M, H, H, H, R, U, Z, Z, B, P, Y, X, R, T, Z",184,6/6/2025
0,14,9,"V, V, W, J, E, T, C, J, G, A, B, S, R, M, M, K",704,6/7/2025
1,0,19,"E, D, M, L, R, U, Z, Y, I, W, L, G, J, A, B, K",1435,6/8/2025
0,17,5,"R, U, C, P, X, D, M, H, C, T, N, R, R, N, E, V",300,6/9/2025
0,10,23,"H, S, M, V, G, W, U, T, T, A, A, O, T, E, J, C",1007,6/10/2025
0,6,14,"O, D, O, H, X, V, P, G, L, J, E, Y, L, B, M, B",420,6/11/2025
0,4,0,"A, O, O, W, T, V, Y, N, R, T, X, T, P, Y, E, E",686,6/12/2025
0,0,23,"R, B, X, Y, C, X, Q, C, V, A, G, D, U, P, R, O",325,6/13/2025
0,8,15,"R, T, J, Q, J, B, Z, O, Q, R, O, E, K, W, B, V",138,6/14/2025
0,13,7,"R, T, Q, E, I, N, B, J, J, E, B, K, F, M, W, F",297,6/15/2025
1,11,13,"Z, K, A, F, X, P, G, N, E, D, I, D, F, C, M, O",907,6/16/2025
1,3,17,"M, S, M, H, Q, F, C, A, R, A, Q, A, N, W, D, W",304,6/17/2025
0,19,7,"T, J, J, W, M, M, R, C, U, W, U, K, U, E, R, R",80,6/18/2025
0,3,22,"L, T, W, L, Y, U, B, T, Z, Y, H, T, N, D, N, K",65,6/19/2025
0,16,12,"Z, V, C, B, G, A, Q, S, J, K, U, V, T, E, O, A",652,6/20/2025
0,1,3,"P, A, Y, Q, F, F, P, K, A, G, K, D, K, C, I, L",202,6/21/2025
0,20,24,"X, O, C, N, Z, I, G, G, N, M, N, X, N, J, I, E",143,6/22/2025
0,17,10,"I, D, Z, F, W, Y, P, S, E, C, L, O, I, U, W, B",1039,6/23/2025
0,20,1,"P, T, U, X, U, R, Y, A, I, F, D, V, C, Y, L, C",538,6/24/2025
0,2,10,"E, V, C, I, X, J, T, U, M, G, F, L, T, N, D, H",831,6/25/2025
0,20,7,"Z, I, Y, T, L, X, X, L, M, W, V, H, J, A, E, W",376,6/26/2025
1,4,13,"V, A, O, Y, Z, V, B, Z, U, C, R, W, V, R, D, B",231,6/27/2025
0,21,20,"Y, U, M, S, P, I, O, H, K, E, P, Z, T, W, N, D",1983,6/28/2025
0,21,15,"Z, S, G, I, K, V, M, V, W, Z, I, K, X, D, Y, K",62,6/29/2025
1,2,21,"R, R, T, M, K, X, P, O, Z, T, O, O, L, U, U, M",165,6/30/2025
0,21,11,"Q, B, W, C, T, Q, E, A, R, V, F, Q, K, H, R, K",341,7/1/2025
1,1,18,"X, R, Z, I, H, W, E, V, C, B, K, A, Q, P, Q, E",449,7/2/2025
1,11,24,"M, A, F, A, U, D, D, Z, T, L, B, J, I, N, Y, E",1366,7/3/2025
0,6,17,"G, K, T, T, Q, F, T, J, B, B, S, P, S, U, B, S",62,7/4/2025
1,8,0,"F, H, P, W, S, G, F, M, I, U, Q, U, M, H, F, K",147,7/5/2025
0,22,12,"A, V, Q, T, D, B, J, F, W, D, I, B, I, B, K, S",220,7/6/2025
1,8,23,"L, A, I, A, M, O, X, M, I, W, V, S, R, M, Q, O",380,7/7/2025
0,22,20,"K, W, M, Q, E, G, R, A, R, E, R, N, O, E, S, F",1054,7/8/2025
0,0,19,"X, V, S, Q, X, A, X, H, M, R, C, E, F, C, F, R",312,7/9/2025
0,13,3,"Q, P, X, O, Y, J, O, X, W, B, S, Q, F, V, R, O",117,7/10/2025
1,1,21,"Q, J, L, K, P, H, N, L, C, V, T, R, V, C, Y, E",159,7/11/2025
0,1,20,"Q, M, Y, N, B, Z, A, K, L, A, V, Q, G, A, P, V",159,7/12/2025
0,23,24,"P, N, U, M, G, A, R, V, R, W, N, I, J, L, R, S",926,7/13/2025
1,1,16,"Q, S, I, F, R, H, Y, J, I, G, M, J, T, X, W, R",186,7/14/2025
0,8,5,"L, H, R, D, N, M, D, M, R, U, D, P, D, N, G, F",72,7/15/2025
0,9,15,"F, H, M, R, E, L, P, L, U, Y, L, A, R, X, N, P",680,7/16/2025
0,1,24,"J, K, C, Y, Y, I, V, F, B, G, C, Z, H, H, V, E",84,7/17/2025
0,13,15,"N, C, M, J, O, V, B, L, L, U, A, N, D, J, I, W",603,7/18/2025
0,15,25,"G, N, R, P, T, O, R, J, Q, Z, D, X, G, T, E, I",601,7/19/2025
1,12,4,"E, X, J, Z, S, W, O, N, W, R, D, Q, B, T, P, W",601,7/20/2025
1,7,24,"D, Q, A, D, J, F, U, N, C, W, H, O, R, C, B, G",486,7/21/2025
0,21,21,"U, U, H, T, T, S, M, Q, Y, Z, C, C, A, G, G, P",408,7/22/2025
0,20,23,"K, J, R, G, Y, P, L, H, B, F, M, M, G, B, O, X",138,7/23/2025
0,23,13,"A, B, M, R, G, D, Y, N, D, B, U, H, H, I, H, X",474,7/24/2025
0,9,9,"X, Z, G, L, L, K, M, Q, H, G, G, M, H, N, O, R",46,7/25/2025
0,7,20,"E, S, K, H, G, R, I, Y, N, B, B, X, X, G, W, P",619,7/26/2025
1,2,15,"D, L, B, R, W, A, P, E, W, X, C, H, W, E, V, Q",626,7/27/2025
0,2,21,"I, N, K, S, B, Q, L, K, R, K, F, A, G, G, V, Q",476,7/28/2025
0,4,7,"L, S, W, P, B, Q, B, X, N, U, C, W, Q, D, E, I",587,7/29/2025
1,3,18,"S, V, R, P, O, C, O, V, D, C, N, H, L, A, L, K",919,7/30/2025
0,5,5,"V, R, O, Y, C, Y, X, K, N, D, W, B, I, W, B, Z",222,7/31/2025
1,0,1,"P, V, L, Q, O, D, K, P, M, E, W, M, R, I, O, F",670,8/1/2025
1,8,15,"B, B, R, G, X, P, E, K, U, P, C, E, V, E, E, Q",140,8/2/2025
1,5,10,"I, Y, Q, M, P, V, S, G, T, M, Q, H, T, J, O, S",312,8/3/2025
0,12,22,"K, X, Q, M, T, N, R, S, D, J, U, H, N, I, P, U",505,8/4/2025
1,12,7,"R, C, J, Q, U, H, G, A, A, A, O, G, B, F, D, T",499,8/5/2025
0,2,7,"E, A, A, I, M, M, L, H, L, D, S, J, R, H, U, U",1222,8/6/2025
1,9,19,"I, Z, X, V, E, Y, I, X, K, L, W, N, Q, B, J, M",184,8/7/2025
0,9,20,"J, N, N, O, W, W, Z, F, K, V, K, S, V, M, R, R",67,8/8/2025
0,1,0,"R, Y, I, T, A, W, Y, P, V, O, R, U, L, T, F, M",844,8/9/2025
1,4,14,"D, F, S, I, M, L, O, I, Z, U, G, O, M, G, T, K",539,8/10/2025
1,7,1,"W, E, G, V, Z, R, X, J, M, X, P, V, Q, T, L, N",83,8/11/2025
0,17,14,"M, D, Q, K, T, O, L, Q, G, H, P, P, T, R, K, I",233,8/12/2025
0,0,24,"B, N, W, F, V, Z, G, L, J, X, C, W, Y, Q, O, L",105,8/13/2025
0,6,25,"E, Q, E, K, S, I, G, K, O, L, U, Z, X, V, I, V",277,8/14/2025
0,17,6,"F, T, W, S, X, D, E, P, E, K, G, J, R, D, Z, Q",335,8/15/2025
0,19,10,"A, Q, O, G, R, E, N, N, S, T, K, M, Y, Y, C, J",1719,8/16/2025
1,0,17,"Q, R, Q, B, D, X, N, R, Z, E, P, S, M, V, K, V",114,8/17/2025
0,1,17,"M, H, C, V, Z, L, F, J, U, N, P, D, G, W, U, I",246,8/18/2025
0,10,19,"C, X, R, E, N, K, E, M, V, A, S, J, R, Z, W, H",946,8/19/2025
0,25,12,"T, S, W, S, X, W, Z, S, Q, M, A, V, Z, E, R, M",324,8/20/2025
0,11,3,"L, R, B, B, K, B, D, D, Q, H, D, R, D, O, U, F",88,8/21/2025
0,20,15,"O, S, K, R, X, G, M, T, B, S, A, T, U, U, W, J",828,8/22/2025
0,9,23,"S, Z, Y, U, H, U, O, K, Q, V, U, P, W, R, C, M",351,8/23/2025
1,0,18,"Z, Y, F, G, X, E, E, W, O, N, O, Z, X, L, G, O",180,8/24/2025
0,8,25,"C, Z, U, W, O, K, Q, F, H, J, E, P, D, Z, C, V",180,8/25/2025
0,14,11,"S, A, P, M, O, Z, I, Q, J, M, G, M, Y, R, W, J",436,8/26/2025
0,12,9,"D, E, R, Y, C, N, J, R, V, Q, Q, G, D, F, V, G",74,8/27/2025
0,1,1,"I, O, M, Z, W, V, B, H, D, J, R, P, J, K, J, W",135,8/28/2025
0,1,19,"L, D, X, W, X, A, E, C, X, K, A, A, G, N, H, I",651,8/29/2025
0,8,2,"M, R, M, D, F, S, X, G, P, I, Q, D, A, O, N, O",983,8/30/2025
1,0,0,"C, Z, N, U, Y, M, P, V, G, E, R, W, B, J, E, H",427,8/31/2025
1,1,10,"X, Z, L, T, O, Z, N, A, N, L, Q, O, A, I, A, U",247,9/1/2025
0,20,21,"B, J, M, D, U, Z, S, Y, G, Y, F, D, U, C, V, L",114,9/2/2025
0,8,20,"J, O, X, O, Q, B, Y, P, S, A, B, T, B, X, T, J",202,9/3/2025
1,6,2,"P, A, Q, U, C, O, P, S, U, W, P, R, L, R, J, L",429,9/4/2025
0,14,5,"S, H, K, A, I, T, I, X, Q, X, Z, M, K, Y, U, X",257,9/5/2025
0,1,6,"D, R, M, D, T, Q, O, J, F, U, K, M, F, U, I, F",147,9/6/2025
0,15,22,"D, U, B, H, Q, B, R, I, N, N, I, P, J, K, V, F",145,9/7/2025
0,11,21,"K, C, X, M, Z, F, F, Q, P, H, Q, D, S, E, H, R",131,9/8/2025
0,8,6,"X, A, S, G, U, P, L, H, O, S, M, J, C, U, T, L",1124,9/9/2025
0,16,0,"J, C, Z, Z, S, F, U, E, S, Y, U, V, F, S, Q, F",56,9/10/2025
0,17,25,"M, I, R, Y, K, R, F, A, Y, L, R, P, M, W, R, I",228,9/11/2025
1,10,13,"S, M, G, C, N, Q, I, B, V, Z, M, L, W, T, P, N",191,9/12/2025
0,4,17,"S, X, C, N, U, M, N, G, O, A, N, P, S, D, K, M",616,9/13/2025
1,8,6,"K, D, P, H, G, Y, I, M, O, Y, J, V, Z, R, F, G",190,9/14/2025
0,14,12,"I, M, X, D, J, J, C, Y, F, W, D, Z, O, D, G, H",111,9/15/2025
0,3,3,"K, I, K, Q, H, Y, P, Q, N, T, L, D, F, R, Y, R",132,9/16/2025
0,4,21,"C, Q, T, S, A, O, F, B, N, K, W, F, M, H, Z, I",1097,9/17/2025
1,11,25,"X, P, P, F, A, K, C, O, B, D, E, D, H, G, M, M",448,9/18/2025
1,4,5,"E, G, U, D, Z, S, T, L, W, H, D, Y, N, U, V, E",719,9/19/2025
1,5,20,"V, H, V, O, A, G, F, C, W, B, S, K, B, G, W, G",208,9/20/2025
1,11,15,"G, J, P, B, E, E, X, N, T, T, B, L, N, S, E, Z",248,9/21/2025
1,3,4,"T, X, V, D, W, H, S, T, O, V, G, Z, T, U, O, G",173,9/22/2025
1,8,9,"W, U, S, H, H, F, G, L, S, K, F, L, Z, E, V, A",506,9/23/2025
0,5,23,"N, T, Z, X, F, K, C, T, E, K, J, H, Y, X, M, Y",79,9/24/2025
0,24,14,"F, H, O, I, X, K, Q, P, N, I, R, I, P, X, Y, V",122,9/25/2025
0,17,23,"V, Z, O, U, Y, G, O, E, X, M, C, M, W, Y, E, X",104,9/26/2025
0,14,0,"P, L, A, K, H, G, Q, R, Y, N, Z, J, V, A, K, P",229,9/27/2025
1,7,11,"O, P, G, S, W, X, T, I, T, B, O, R, E, L, C, D",2406,9/28/2025
0,1,18,"A, R, G, B, T, Y, S, Y, Q, H, Y, Y, U, Q, H, J",307,9/29/2025
0,13,20,"L, D, I, K, L, U, I, R, H, G, H, C, C, F, V, Y",222,9/30/2025
1,0,12,"Z, M, R, V, O, L, M, I, O, X, M, B, V, C, R, M",111,10/1/2025
1,7,0,"M, I, N, W, W, U, M, I, K, B, N, I, H, O, P, T",268,10/2/2025
1,3,5,"Z, O, P, A, C, C, Z, G, V, R, I, X, G, N, G, W",352,10/3/2025
0,20,12,"Q, F, N, L, Z, N, G, S, F, E, J, G, N, R, I, A",795,10/4/2025
0,4,1,"I, T, Y, V, F, A, D, L, U, S, N, Q, Y, Y, N, I",613,10/5/2025
1,0,15,"P, Y, H, O, Y, M, V, J, M, A, I, E, M, Y, P, X",184,10/6/2025
0,1,8,"O, P, K, R, N, M, L, B, I, K, F, V, U, Z, W, A",824,10/7/2025
0,0,10,"X, U, K, M, M, P, T, B, V, G, D, G, G, G, Y, J",61,10/8/2025
1,6,19,"D, V, J, L, U, S, T, W, W, O, X, P, W, H, J, V",223,10/9/2025
0,16,23,"E, E, B, S, M, V, O, R, W, R, F, F, H, G, G, L",779,10/10/2025
0,24,13,"B, E, V, Y, S, C, O, O, X, I, I, L, O, O, V, E",304,10/11/2025
0,18,25,"C, N, L, D, A, K, M, V, U, S, Q, X, S, D, K, V",262,10/12/2025
0,17,8,"K, G, V, Y, P, H, Y, I, V, Q, T, A, O, X, U, O",252,10/13/2025
1,10,11,"O, A, S, K, U, O, M, B, E, T, B, B, K, K, L, F",910,10/14/2025
0,23,3,"V, S, O, J, Q, O, N, Y, R, B, A, S, R, W, J, U",417,10/15/2025
0,11,0,"Q, O, M, J, V, S, I, C, Z, L, N, B, T, M, A, Q",808,10/16/2025
0,22,15,"R, U, P, K, W, Z, F, F, U, S, P, Y, K, O, A, T",558,10/17/2025
0,14,15,"Z, I, B, M, Z, D, V, Y, U, A, E, P, B, G, C, Y",418,10/18/2025
1,1,24,"F, V, T, H, D, V, B, D, S, U, P, X, D, J, T, V",67,10/19/2025
1,6,17,"H, D, A, L, W, K, Q, T, E, B, X, A, W, M, J, Z",392,10/20/2025
0,19,4,"S, J, D, U, B, L, R, K, L, M, B, L, N, E, V, L",463,10/21/2025
1,9,11,"K, V, A, U, N, N, O, G, F, P, B, V, Z, N, S, R",561,10/22/2025
0,3,17,"H, N, X, Z, I, C, L, Z, Z, F, D, K, S, Y, M, K",203,10/23/2025
0,6,4,"Z, B, B, Q, N, R, Z, B, U, T, J, T, X, U, W, W",32,10/24/2025
1,1,8,"K, B, L, B, V, O, H, N, L, Z, K, U, L, G, H, J",84,10/25/2025
0,19,23,"G, H, C, G, O, O, E, P, Q, H, B, A, W, H, G, W",147,10/26/2025
0,19,6,"E, R, B, O, G, B, I, E, V, Z, J, Y, F, S, N, P",1159,10/27/2025
0,3,9,"I, I, I, U, Z, J, F, X, V, E, R, I, K, F, F, F",63,10/28/2025
1,2,14,"G, F, O, V, Z, D, I, X, M, M, D, T, T, L, Y, H",220,10/29/2025
0,21,8,"Q, V, O, S, H, G, X, M, W, Z, X, Z, X, L, H, T",101,10/30/2025
0,15,16,"V, B, R, Q, A, C, K, R, C, S, R, Q, C, G, P, A",164,10/31/2025
0,24,22,"Q, C, X, T, E, P, Q, G, F, Y, X, F, Z, F, U, Y",52,11/1/2025
0,7,14,"Z, H, W, D, Q, R, J, U, C, K, W, A, S, J, Q, Y",280,11/2/2025
0,1,13,"M, X, V, O, J, Y, E, C, Q, V, S, L, T, C, W, F",355,11/3/2025
0,23,0,"R, O, R, J, G, P, F, F, M, O, R, N, W, F, A, F",199,11/4/2025
0,3,4,"Y, C, N, X, T, R, Z, D, M, P, S, T, A, M, S, V",427,11/5/2025
1,3,7,"N, R, W, W, B, O, K, P, B, F, X, J, V, T, K, E",258,11/6/2025
